registroId,cod_est,raz_soc,subregion,red,microred,notifica,tipo,nivel,renaes,categoria,estado,insti_rn,ubigeo_rn
2094,010101A101,HOSPITAL REGIONAL VIRGEN DE FATIMA,36,01,99,S,A,1,00004838,II-2,1,7,010101
2095,010101A201,C.S. 9 DE ENERO,36,01,01,S,A,2,00006754,I-3,1,7,010101
9724,010101A202,CENTRO COMUNITARIO DE SALUD MENTAL AYLLU SACHAPUYOS,36,01,01,N,A,2,00027354,I-3,1,7,010101
2096,010101A301,P.S. TAQUIA,36,01,01,S,A,3,00004839,I-1,1,7,010101
2097,010101A303,P.S. SAN ISIDRO UTCUBAMBA,36,01,01,S,A,3,00004840,I-1,1,7,010101
2098,010101A304,P.S. PEDRO CASTRO ALVA,36,01,01,S,A,3,00007037,I-2,1,7,010101
2099,010101A305,P.S. EL MOLINO,36,01,01,S,A,3,00007038,I-1,1,7,010101
2100,010101A306,P.S. HIGOS URCO,36,01,01,S,A,3,00007039,I-1,1,7,010101
2101,010101A307,P.S. VIRGEN DE ASUNTA,36,01,01,S,A,3,00035428,I-1,1,7,010101
2102,010101A308,P.S. FABIOLA SALAZAR LEGUIA,36,01,01,N,A,3,00007360,I-2,2,7,010101
2103,010101A309,P.S. SEÑOR DE LOS MILAGROS,36,01,01,S,A,3,00013131,I-1,1,7,010101
9723,010101A310,P.S. MARIA DOLORES QUISPE VILCHEZ,36,01,01,S,A,3,00027352,I-2,1,7,010101
2104,010101C101,HOSPITAL HIGOS URCO,36,01,54,S,C,1,00009066,II-1,1,2,010101
2105,010101D201,POLICLINICO PNP CHACHAPOYAS,36,01,01,N,D,3,00026723,I-3,1,5,010101
10013,010101X101,CLÍNICA SAN FRANCISCO DE ASIS,36,01,01,N,X,1,00012897,S/C,1,10,010101
9322,010101X201,CENTRO MEDICO NEILL ROMAN ROBLES,36,01,01,N,X,2,00025653,I-3,1,10,010101
9327,010101X204,CLINICA VIRGEN ASUNTA SAC,36,01,01,N,X,2,00032604,I-3,1,10,010101
10021,010101X205,LABORATORIO CLINICO  SAN LUIS,36,01,01,N,X,2,00021282,S/C,1,10,010101
10022,010101X206,SERVICIOS MEDICOS AMAZONAS,36,01,01,N,X,2,00026200,I-2,1,10,010101
10023,010101X207,CENTRO MEDICO AMAZONAS EIRL,36,01,01,N,X,2,00026399,I-3,1,10,010101
2106,010102A301,P.S. ASUNCION GONCHA,36,01,04,S,A,3,00004912,I-1,1,7,010102
2107,010103A201,C.S. BALZAS,36,01,10,S,A,2,00004856,I-3,1,7,010103
2108,010103A302,P.S. GOLLON,36,01,10,S,A,3,00004857,I-1,1,7,010103
2109,010103A303,P.S. SAULLAMUR,36,01,10,S,A,3,00007148,I-1,1,7,010103
2110,010104A301,P.S. CHETO,36,01,11,S,A,3,00004878,I-1,1,7,010104
2111,010105A301,P.S. VITUYA,36,01,11,S,A,3,00004879,I-2,1,7,010105
2112,010105A302,P.S. CHILIQUIN,36,01,11,S,A,3,00004880,I-1,1,7,010105
2113,010105A303,P.S. SENGACHE,36,01,11,S,A,3,00007072,I-1,1,7,010105
2114,010106A201,C.S. CHUQUIBAMBA,36,01,10,S,A,2,00004858,I-3,1,7,010106
2115,010106A302,P.S. LA MORADA,36,01,10,S,A,3,00007067,I-1,1,7,010106
2116,010106A303,P.S. CHUMBOL,36,01,10,S,A,3,00007068,I-1,1,7,010106
2117,010106A304,P.S. COCHABAMBA,36,01,10,S,A,3,00007174,I-1,1,7,010106
2118,010106A305,P.S. ATUEN,36,01,10,S,A,3,00007175,I-1,1,7,010106
2119,010106A306,P.S. CANAAN,36,01,46,N,A,3,00007176,I-1,1,7,010106
2120,010107A301,P.S. GRANADA,36,01,16,S,A,3,00004868,I-1,1,7,010107
2121,010108A301,P.S. HUANCAS,36,01,01,S,A,3,00004841,I-1,1,7,010108
2122,010109A201,C.S. YERBABUENA,36,01,09,S,A,2,00004904,I-3,1,7,010109
2123,010109A202,C.S. LA JALCA GRANDE,36,01,09,S,A,2,00004905,I-3,1,7,010109
2124,010109A303,P.S. NUEVA ESPERANZA,36,01,15,S,A,3,00004951,I-1,1,7,010109
2125,010109A304,P.S. QUILLUNYA,36,01,09,S,A,3,00004906,I-1,1,7,010109
2126,010109A305,P.S. EL TRIUNFO,36,01,15,S,A,3,00004952,I-1,1,7,010109
2127,010109A306,P.S. QUELUCA,36,01,09,S,A,3,00007069,I-1,1,7,010109
2128,010109A307,P.S. BUIQUIL,36,01,09,S,A,3,00007070,I-1,1,7,010109
2129,010109A308,P.S. PENGOTE,36,01,09,S,A,3,00007280,I-1,1,7,010109
2130,010109A309,P.S. CUEYQUETA,36,01,09,S,A,3,00007281,I-1,1,7,010109
2131,010110A201,C.S. LEYMEBAMBA,36,01,10,S,A,2,00004859,I-3,1,7,010110
2132,010110A301,P.S. CHILCHOS,36,01,10,S,A,3,00004860,I-1,1,7,010110
2133,010110A302,P.S. PLAZAPAMPA,36,01,10,S,A,3,00004861,I-1,1,7,010110
2134,010111A301,P.S. LEVANTO,36,01,01,S,A,3,00004842,I-1,1,7,010111
2135,010112A301,P.S. MAGDALENA,36,01,08,S,A,3,00004891,I-1,1,7,010112
2136,010113A301,P.S. DURAZNOPAMPA,36,01,09,S,A,3,00004907,I-1,1,7,010113
2137,010113A302,P.S. TACTA,36,01,09,S,A,3,00004908,I-1,1,7,010113
2138,010114A201,C.S. MOLINOPAMPA,36,01,16,S,A,2,00004869,I-3,1,7,010114
2139,010114A302,P.S. SAN JOSE,36,01,16,S,A,3,00004870,I-1,1,7,010114
2140,010114A303,P.S. IZCUCHACA,36,01,43,S,A,3,00004941,I-1,1,7,010114
3232,010114A304,P.S. CASMAL,36,01,16,N,A,3,00009667,I-1,1,7,010114
2141,010115A301,P.S. MONTEVIDEO,36,01,09,S,A,3,00004909,I-1,1,7,010115
2142,010116A301,P.S. OLLEROS,36,01,16,S,A,3,00004871,I-1,1,7,010116
2143,010116A302,P.S. SAN MIGUEL DE LA REYNA,36,01,04,S,A,3,00004918,I-1,1,7,010116
2144,010117A301,P.S. QUINJALCA,36,01,16,S,A,3,00004872,I-2,1,7,010117
2145,010118A201,C.S. PIPUS,36,01,11,S,A,2,00004881,I-3,1,7,010118
2146,010118A301,P.S. CHONTAPAMPA,36,01,11,S,A,3,00006988,I-1,1,7,010117
2147,010118A303,P.S. CUELCHO,36,01,11,S,A,3,00007071,I-1,1,7,010105
2148,010119A301,P.S. MAYNO,36,01,08,S,A,3,00004892,I-1,1,7,010119
2149,010120A301,P.S. SOLOCO,36,01,11,S,A,3,00004882,I-1,1,7,010120
2150,010120A302,P.S. EL MITO,36,01,11,S,A,3,00004883,I-1,1,7,010120
2151,010120A303,P.S. QUITACHI,36,01,11,S,A,3,00007279,I-1,1,7,010120
